Key,Id,Shared Comments,Chinese (Simplified)(zh-CN),Chinese (Simplified)(zh-CN) Comments,English(en),English(en) Comments
"TPL_TemporaryDamage",343984055509310,"","临时伤害+ <size=1><sprite=""Damage"" index=0></size>","","Temporary Damage+ <size=1><sprite=""Damage"" index=0></size>",""
"TPL_DashDistance",343984055509311,"","冲刺距离+ <size=1><sprite=""MovementSpeed"" index=0></size>","","Dash Distance+ <size=1><sprite=""MovementSpeed"" index=0></size>",""
"TPL_Health",343984055509312,"","最大生命值+ <size=1><sprite=""MaxHP"" index=0></size>","","Max HP+ <size=1><sprite=""MaxHP"" index=0></size>",""
"TPL_Speed",343984055509313,"","速度+ <size=1><sprite=""MovementSpeed"" index=0></size>","","Move Speed+ <size=1><sprite=""MovementSpeed"" index=0></size>",""
"TPL_PullArea",343984055509314,"","磁力+ <size=1><sprite=""Magnet"" index=0></size>","","Pull Area+ <size=1><sprite=""Magnet"" index=0></size>",""
"TPL_Xp",343984055509315,"","经验值+ <size=1><sprite=""XP_Modifier"" index=0></size>","","XP+ <size=1><sprite=""XP_Modifier"" index=0></size>",""
"STT_PickSignature",343984055509316,"","选择一件招牌武器","","Pick a Signature Weapon",""
"GEN_QuestFailed",343984055509317,"","任务失败!","","Quest Failed!",""
"GEN_QuestTimeout",343984055509318,"","任务超时!","","Quest Timed-out!",""
"FontTitle CSGrimore-Regular SDFAA Padded",343984055509319,"","REEJI-LiLing-Gothic-GB Regular SDF_Chinese","","CSGrimore-Regular SDFAA Padded",""
"FontTitle CSGrimore-Regular Padded",343984055509320,"","REEJI-LiLing-Gothic-GB Regular SDF_Chinese","","CSGrimore-Regular Padded",""
"FontTitle Alegreya-Medium SDF",343984055509321,"","REEJI-LiLing-Gothic-GB Regular SDF_Chinese","","Alegreya-Medium SDF",""
"FontTitle Dante card pick",343984055509322,"","REEJI-LiLing-Gothic-GB Regular SDF_Chinese","","Dante card pick",""
"FontTitle Virgil card pick 1",343984055509323,"","REEJI-LiLing-Gothic-GB Regular SDF_Chinese","","Virgil card pick 1",""
"FontTitle Horace card pick 2",343984055509324,"","REEJI-LiLing-Gothic-GB Regular SDF_Chinese","","Horace card pick 2",""
"FontTitle Homer card pick",343984055509325,"","REEJI-LiLing-Gothic-GB Regular SDF_Chinese","","Homer card pick",""
"FontTitle Ovid card pick",343984055509326,"","REEJI-LiLing-Gothic-GB Regular SDF_Chinese","","Ovid card pick",""
"FontTitle Alegreya-BoldItalic OUTLINESDFAA 2k padding30 1",343984055509327,"","REEJI-LiLing-Gothic-GB Regular SDF_Chinese","","Alegreya-BoldItalic OUTLINESDFAA 2k padding30 1",""
"FontTitle Alegreya-SemiBoldItalic SDFAA 2k padding30",343984055509328,"","REEJI-LiLing-Gothic-GB Regular SDF_Chinese","","Alegreya-SemiBoldItalic SDFAA 2k padding30",""
"FontTitle Alegreya-Medium SDFAA 2k padding30",343984055509329,"","REEJI-LiLing-Gothic-GB Regular SDF_Chinese","","Alegreya-Medium SDFAA 2k padding30",""
"FontTitle Alegreya-Medium SDFAA 2k padding30 Drop Shadow",343984055509330,"","REEJI-LiLing-Gothic-GB Regular SDF_Chinese Drop Shadow","","Alegreya-Medium SDFAA 2k padding30 Drop Shadow",""
"FontTitle Alegreya-Italic SDFAA 2k padding30",343984055509331,"","REEJI-LiLing-Gothic-GB Regular SDF_Chinese","","Alegreya-Italic SDFAA 2k padding30",""
"FontTitle CSGrimore-ItalicSTROKEWHITE SDFAA",343984055509332,"","REEJI-LiLing-Gothic-GB Regular SDF_Chinese STROKEWHITE SDFAA","","CSGrimore-ItalicSTROKEWHITE SDFAA",""
"FontTitle CSGrimore-ItalicGlow",343984055509333,"","REEJI-LiLing-Gothic-GB Regular SDF_Chinese","","CSGrimore-ItalicGlow",""
"FontTitle CSGrimore-ItalicGlowpink",343984055509334,"","REEJI-LiLing-Gothic-GB Regular SDF_Chinese ItalicGlowPink","","CSGrimore-ItalicGlowpink",""
"STP_PlayerMoveSpeed",343984055509335,"","移动速度","","Movement Speed",""
"STP_WeaponDamage",343984055509336,"","攻击力","","Attack Damage",""
"STP_WeaponSpeed",343984055509337,"","攻击速度","","Attack Speed",""
"STP_XPPullRadius",343984055509338,"","磁力范围","","Magnet Area",""
"STP_PlayerDashDistance",343984055509339,"","冲刺距离","","Dash Distance",""
"STP_XPAmount",343984055509340,"","获得经验","","Gained XP",""
"STP_PristineEnemyDamage",343984055509341,"","最大生命伤害","","Max Health Damage",""
"STP_PlayerContactBasedDamage",343984055509342,"","近战防御","","Melee Defense",""
"STP_Less Projectile Damage",343984055509343,"","投射物防御","","Projectile Defense",""
"STP_OnEliteEnemyDamage",343984055509344,"","精英伤害","","Elite Damage",""
"STP_OnBurnAfflictedEnemy",343984055509345,"","额外灼烧伤害","","Extra Burn Damage",""
"STP_OnPoisonAfflictedEnemy",343984055509346,"","额外毒素伤害","","Extra Poison Damage",""
"STP_OnBleedAfflictedEnemy",343984055509347,"","额外流血伤害","","Extra Bleed Damage",""
"STP_Status Afflicted Enemy Damage",343984055509348,"","状态效果伤害","","Status Effect Damage",""
"STP_PlayerTakenDamage",343984055509349,"","综合防御","","General Defense",""
"STP_PlayerDashExtraCharges",343984055509350,"","额外冲刺次数","","Extra Dash Charges",""
"STP_WeaponCritMultiplier",343984055509351,"","暴击伤害","","Critical Damage",""
"STP_WeaponCritRate",343984055509352,"","暴击率","","Critical Rate",""
"STP_WeaponDuration",343984055509353,"","攻击持续时间","","Attack Duration",""
"STP_OnMeleeEnemyDamage",343984055509354,"","近战伤害","","Damage to Melee",""
"STP_OnRangedEnemyDamage",343984055509355,"","远程伤害","","Damage to Ranged",""
"STP_WeaponSize",343984055509356,"","武器大小","","Weapon Size",""
"STP_PlayerMaxHealth",343984055509357,"","最大生命值","","Max Health",""
"SavingTxt",343984055509358,"","保存中…","","Saving...",""
"SplashScreen_Disclaimer_001",343984055509359,"","抢先体验","","Early Access",""
"SplashScreen_Disclaimer_002",343984055509360,"","《Hell Maiden》目前处于抢先体验阶段，并将根据您的反馈持续进行更新与优化。

随着开发不断推进，我们将加入全新的关卡、角色、卡牌、Boss 战以及剧情事件，同时进一步完善整体游戏体验。

祝您在地狱深渊的冒险中玩得愉快！","","Hell Maiden is currently in Early Access and will be receiving continuous support based on your feedback.

As development progresses, we will be adding new levels, characters, cards, boss encounters and narrative events while improving the overall experience.

Have fun traversing the depths of Hell!",""
"SplashScreen_ThankYou_001",343984055509361,"","感谢游玩！","","Thank you for playing!",""
"SplashScreen_ThankYou_002",343984055509362,"","您已完成当前抢先体验版本的主线剧情与成长进度。

不过，游戏中仍有更多内容等待探索，还有可解锁要素、角色互动，以及数十种不同的流派组合可供尝试。希望您能尽情体验 Hell Maiden EA 1.0 所带来的乐趣！

您的支持对我们意义重大，也希望您能通过在 Steam 上留下反馈和评测，参与我们的开发过程。","","You've reached the end of the current Early Access main storyline and progression.

There's more to explore, content to unlock, character interactions to experience and dozens of builds to tinker with, and we hope you'll enjoy what Hell Maiden EA 1.0 has to offer!

Your support means everything and we hope you'll consider joining our open development process by leaving us your feedback and reviews on Steam.",""
"ReRollButton",343984055509363,"","CardPickMenu_Button_ReRoll_TextSimpCHTradCH","","CardPickMenu_Button_ReRoll_Text",""
"DiscartButton",343984055509364,"","CardPickMenu_Button_Discard_SIMPCH","","CardPickMenu_Button_Discard_Text",""
"MergeButton",343984055509365,"","CardPickMenu_MergeBubble_TextTradCH and SimpCH","","CardPickMenu_Button_Merge_Text_0",""
"RS_Previous",343984055509366,"","上一页","","Previous",""
"RS_Confirm",343984055509367,"","确认","","Confirm",""
"UltimateDante",343984055509368,"","Damte_InfernoCHSimp","","Damte_InfernoEN",""
"STT_ATKs",343984055509369,"","攻/秒","","atk/s",""
"STT_na",343984055509370,"","不适用","","n/a",""
"MTP_Buy",343984055509371,"","获取","","Obtain",""
"MTP_Refund",343984055509372,"","退还","","Refund",""
"META_HP",343984055509373,"","勇者之心","","Lion-hearted",""
"META_HP_DESC",343984055509374,"","提升基础生命值上限。","","Increase maximum base HP.",""
"META_MOVESPEED",343984055509375,"","步履轻盈","","Swift-footed",""
"META_MOVESPEED_DESC",343984055509376,"","提升基础移动速度。","","Increase base movement speed.",""
"META_DASHDISTANCE",343984055509377,"","阔步突进","","Wide Strides",""
"META_DASHDISTANCE_DESC",343984055509378,"","提升单次冲刺行进距离。","","Increase distance traveled with each dash.",""
"META_DASHCOOLDOWN",343984055509379,"","快速恢复","","Brisk Recovery",""
"META_DASHCOOLDOWN_DESC",343984055509380,"","缩短冲刺蓄力的冷却时间。","","Reduce dash charge cooldown.",""
"META_DASHCHARGES",343984055509381,"","充沛体能","","Stamina",""
"META_DASHCHARGES_DESC",343984055509382,"","增加冲刺蓄力的总次数。","","Increase total number of dash charges.",""
"META_PULLAREA",343984055509383,"","磁力吸附","","Magnetism",""
"META_PULLAREA_DESC",343984055509384,"","扩大基础吸附范围。","","Increase base magnetic pull.",""
"META_XPMODIFIER",343984055509385,"","天赋意志","","Innate Resolve",""
"META_XPMODIFIER_DESC",343984055509386,"","提升基础经验获取量。","","Increase base experience gain.",""
"META_DMGREDUCTION",343984055509387,"","战士之韧","","Fighter's Grit",""
"META_DMGREDUCTION_DESC",343984055509388,"","降低受到的敌方伤害。","","Decrease damage received from enemies.",""
"META_CARDREROLLS",343984055509389,"","幸运恩典","","Fortune's Grace",""
"META_CARDREROLLS_DESC",343984055509390,"","增加卡牌选择的重掷次数。","","Increase number of card selection rerolls.",""
"META_CARDBANISHES",343984055509391,"","驱逐之力","","Dispelling ",""
"META_CARDBANISHES_DESC",343984055509392,"","增加卡牌选择的移除次数。","","Increase number of card selection banishes.",""
"META_CHARMREROLLS",343984055509393,"","贝雅特丽齐恩惠","","Beatrice's Grace",""
"META_CHARMREROLLS_DESC",343984055509394,"","增加护符选择的重掷次数。","","Increase number of charm selection rerolls.",""
"META_DAMAGE",343984055509395,"","战士之力","","Fighter's Might",""
"META_DAMAGE_DESC",343984055509396,"","提升基础攻击伤害。","","Increase base attack damage.",""
"META_CRITRATE",343984055509397,"","神射手","","Sharpshooter",""
"META_CRITRATE_DESC",343984055509398,"","提升基础暴击率。","","Increase base critical rate.",""
"META_CRITMULTIPLIER",343984055509399,"","致命一击","","Decisive Strike",""
"META_CRITMULTIPLIER_DESC",343984055509400,"","提升基础暴击伤害。","","Increase base critical damage.",""
"META_ATKSPEED",343984055509401,"","迅捷连击","","Nimble Strikes",""
"META_ATKSPEED_DESC",343984055509402,"","提升基础攻击速度。","","Increase base attack speed.",""
"META_ATKSIZE",343984055509403,"","开阔视野","","Broad Sight",""
"META_ATKSIZE_DESC",343984055509404,"","扩大基础攻击范围。","","Increase base attack size.",""
"META_ATKDURATION",343984055509405,"","持久攻势","","Perseverance",""
"META_ATKDURATION_DESC",343984055509406,"","延长基础攻击的持续时间。","","Increase base attack duration.",""
"META_PROJINCREMENT",343984055509407,"","战士军备","","Fighter's Arsenal",""
"META_PROJINCREMENT_DESC",343984055509408,"","提升基础射弹的数量。","","Increase base number of projectiles.",""
"META_MENUTITLE",343984055509409,"","地狱之门","","The Gates of Hell",""
"META_MENUTITLE_DESC",343984055509410,"","进行献祭","","Make an Offering",""
"META_CURRENCY_NAME",343984055509411,"","深渊悲鸣","","Wails of the Abyss",""
"META_MAXCOST",343984055509412,"","满级","","MAX",""
"META_NEXTLVL",343984055509413,"","下一等级","","Next Lv",""
"CRD_MAIN CREDITS",343984055509414,"","制作团队","","Presented by",""
"CRD_ASTRALSHIFT STUDIO",343984055509415,"","ASTRALSHIFT","","ASTRALSHIFT",""
"CRD_RL_GameConcept",343984055509416,"","游戏概念","","Game Concept",""
"CRD_RL_Story",343984055509417,"","剧情","","Story",""
"CRD_RL_Creative Director",343984055509418,"","创意总监","","Creative Director",""
"CRD_RL_Producer",343984055509419,"","制作人","","Producer",""
"CRD_RL_Creative_Team",343984055509420,"","创意团队","","CREATIVE TEAM",""
"CRD_RL_Art Director",343984055509421,"","美术总监","","Art Director",""
"CRD_RL_Character_Art",343984055509422,"","角色美术","","Character Art",""
"CRD_RL_Environment Art",343984055509423,"","环境美术","","Environment Artist",""
"CRD_RL_Pixel Art",343984055509424,"","像素美术","","Pixel Artist",""
"CRD_RL_2D_Animator",343984055509425,"","2D动画师","","2D Animator",""
"CRD_PROGRAMMING",343984055509426,"","程序开发","","PROGRAMMING",""
"CRD_RL_Lead Programmer",343984055509427,"","首席程序员","","Lead Programmer",""
"CRD_RL_VFX_Programmer",343984055509428,"","特效程序员","","VFX Programmer",""
"CRD_RL_Gameplay_Programmer",343984055509429,"","玩法程序员","","Gameplay Programmer",""
"CRD_RL_Programmers",343984055509430,"","程序员","","Programmers",""
"CRD_WRITING",343984055509431,"","文案","","WRITING",""
"CRD_RL_LeadWriter",343984055509432,"","主文案","","Lead Writer",""
"CRD_UI",343984055509433,"","UI","","UI",""
"CRD_RL_UI_Designer",343984055509434,"","UI设计师","","UI Designer",""
"CRD_RL_3D_Modeler",343984055509435,"","3D建模师","","3D Modeler",""
"CRD_CUTSCENE",343984055509436,"","过场动画","","CUTSCENE",""
"CRD_RL_Cutscene Artist",343984055509437,"","过场动画美术","","Cutscene Artist",""
"CRD_RL_Cutscene_Director",343984055509438,"","过场动画导演","","Cutscene Director",""
"CRD_AUDIO",343984055509439,"","音频","","AUDIO",""
"CRD_RL_Composer",343984055509440,"","作曲","","Composer",""
"CRD_RL_Sound_Designer",343984055509441,"","音效设计","","Sound Designer",""
"CRD_VOICE_ACTING",343984055509442,"","配音","","VOICE ACTING",""
"CRD_RL_Voice_Director",343984055509443,"","配音导演","","Voice Director",""
"CRD_RL_Dante",343984055509444,"","但丁","","Dante",""
"CRD_RL_Virgil",343984055509445,"","维吉尔","","Virgil",""
"CRD_RL_Beatrice",343984055509446,"","贝雅特丽齐","","Beatrice",""
"CRD_RL_Horace",343984055509447,"","贺拉斯","","Horace",""
"CRD_RL_Homer",343984055509448,"","荷马","","Homer",""
"CRD_RL_Queen_Minos",343984055509449,"","米诺斯","","Queen Minos",""
"CRD_RL_Ovid",343984055509450,"","奥维德","","Ovid",""
"CRD_RL_Scarmiglione",343984055509451,"","斯卡米廖内","","Scarmiglione",""
"CRD_RL_Libicocco",343984055509452,"","利比谷谷","","Libicocco",""
"CRD_OPENING_ANIMATION",343984055509453,"","开场动画","","OPENING ANIMATION",""
"CRD_Not_My_Paradiso",343984055509454,"","""Not My Paradiso""","","""Not My Paradiso""",""
"CRD_RL_Original_Song",343984055509455,"","原创歌曲","","Original Song",""
"CRD_RL_2D_Animators",343984055509456,"","2D动画师","","2D Animators",""
"CRD_RL_Compositing",343984055509457,"","合成","","Compositing",""
"CRD_RL_Settei",343984055509458,"","设定原画","","Settei",""
"CRD_RL_Special_Thanks",343984055509459,"","特别鸣谢","","Special Thanks",""
"CRD_RL_Animation_Director",343984055509460,"","动画总监","","Animation Director",""
"CRD_PROOFREADING",343984055509461,"","校对","","Proofreading",""
"CRD_English",343984055509462,"","英语","","ENGLISH",""
"CRD_Spanish",343984055509463,"","西班牙语","","SPANISH",""
"CRD_RL_Localizer",343984055509464,"","本地化","","Localizer",""
"CRD_PT_BR",343984055509465,"","葡萄牙语（巴西）","","PORTUGUESE (BRAZIL)",""
"CRD_PT_BR_Legacy",343984055509466,"","旧版本地化","","Legacy Localization",""
"CRD_PT_PT",343984055509467,"","葡萄牙语（葡萄牙）","","PORTUGUESE (PORTUGAL)",""
"CRD_Japanese",343984055509468,"","日语","","JAPANESE",""
"CRD_Korean",343984055509469,"","韩语","","KOREAN",""
"CRD_CN_SI",343984055509470,"","简体中文","","SIMPLIFIED CHINESE",""
"CRD_CN_TR",343984055509471,"","繁体中文","","TRADITIONAL CHINESE",""
"CRD_QA_TESTING",343984055509472,"","QA测试","","QA TESTING",""
"CRD_RL_QA_Testers",343984055509473,"","QA测试员","","QA Tester",""
"CRD_RL_From_AstralShift",343984059703296,"","AstralShift 提供","","From AstralShift",""
"CRD_GAME DESIGN",343984059703297,"","游戏设计","","GAME DESIGN",""
"CRD_RL_Lead Game Designer",343984059703298,"","主游戏设计师","","Lead Game Designer",""
"CRD_RL_Level Designer",343984059703299,"","关卡设计师","","Level Designer",""
"CRD_RL_Gameplay Designer",343984059703300,"","玩法设计师","","Gameplay Designer",""
"CRD_RL_Card System Concept Designer",343984059703301,"","卡牌系统概念设计师","","Card System Concept Designer",""
"CRD_ASIAN PUBLISHING",343984059703302,"","亚洲发行","","ASIAN PUBLISHING",""
"CRD_RL_Publishing Operations",343984059703303,"","发行运营","","Publishing Operations",""
"CRD_RL_Community Operations",343984059703304,"","社区运营","","Community Operations",""
"CRD_RL_Marketing & Public Relations",343984059703305,"","市场及公关","","Marketing & Public Relations",""
"CRD_RL_Business Development",343984059703306,"","商务拓展","","Business Development",""
"CRD_LOCALIZATION",343984059703307,"","本地化","","LOCALIZATION",""
"CRD_RL_Korean Linguist",343984059703308,"","韩语本地化","","Korean Linguist",""
"CRD_RL_Simplfied Chinese Linguist",343984059703309,"","简体中文本地化","","Simplfied Chinese Linguist",""
"CRD_RL_Traditional Chinese Linguist",343984059703310,"","繁体中文本地化","","Traditional Chinese Linguist",""
"CRD_RL_Project Manager",343984059703311,"","项目经理","","Project Manager",""
"CRD_RL_English Proofreading",343984059703312,"","英文校对","","English Proofreading",""
"CRD_RL_Legacy Brazilian Portuguese",343984059703313,"","旧版巴西葡萄牙语","","Legacy Brazilian Portuguese",""
"CRD_RL_Legacy Spanish",343984059703314,"","旧版西班牙语","","Legacy Spanish",""
"CRD_RL_Legacy Korean",343984059703315,"","旧版韩语","","Legacy Korean",""
"CRD_RL_Legacy Traditional Chinese",343984059703316,"","旧版繁体中文","","Legacy Traditional Chinese",""
"CRD_MARKETING",343984059703317,"","市场营销","","MARKETING",""
"CRD_RL_Marketing Manager",343984059703318,"","市场经理","","Marketing Manager",""
"CRD_RL_Graphic Designer",343984059703319,"","平面设计师","","Graphic Designer",""
"CRD_TOOLS & ASSETS",343984059703320,"","工具与素材","","TOOLS & ASSETS",""
"CRD_FROM ALL OF US",343984059703321,"","全体制作人员献上","","FROM ALL OF US",""
"CRD_RL_At AstralShift",343984059703322,"","AstralShift","","At AstralShift",""
"CRD_FONTS",343984059703323,"","字体","","FONTS",""
"CRD_OTHER ASSETS",343984059703324,"","其他资源","","OTHER ASSETS",""
"CRD_THANK YOU FOR PLAYING",343984059703325,"","感谢游玩","","THANK YOU FOR PLAYING",""
"CRD_SPECIAL THANKS",343984059703326,"","特别鸣谢","","Special Thanks",""
"CRD_RL_Visual_Effects",343984059703327,"","视觉效果","","Visual Effects",""
"CRD_RL_Card_Artist",343984059703328,"","卡牌插画","","Card Artist",""
"CRD_RL_Video Editor",343984059703329,"","视频编辑","","Video Editor",""
"CRD_VIDEO",343984059703330,"","视频","","VIDEO",""
"CRD_RL_3D_Textures",343984059703331,"","3D纹理","","3D Textures",""
"CRD_RL_QA_Tester",343984059703332,"","QA测试员","","QA Testers",""
"CRD_RL_Animation_Studio",343984059703333,"","动画工作室","","Animation Studio",""
"ACH_Achievements_Label",343984059703334,"","成就","","Achievements",""
"ACH_Circle_Number",343984059703335,"","层数","","Circle",""
"ACH_AchievementTab_Combat",343984059703336,"","战斗","","Combat",""
"ACH_AchievementTab_Story",343984059703337,"","剧情","","Story",""
"ACH_Circle_Name_Limbo",343984059703338,"","灵薄狱","","Limbo",""
"ACH_Circle_Name_Lust",343984059703339,"","淫欲","","Lust",""
"ACH_Next_Tab",343984059703340,"","下一个","","Next",""
"ACH_Previous_Tab",343984059703341,"","上一个","","Previous",""
"ACH_InfoPanel_Archievement_Progression_Complete",343984059703342,"","完成","","Complete",""
"ACH_HIDDEN_TITLE",343984059703343,"","？？？","","???",""
"ACH_HIDDEN_DESCRIPTION",343984059703344,"","隐藏成就","","Hidden Achievement",""
"ACH_Tab_Chapter_Achievements_Complete",343984059703345,"","章节成就：<color=#5494ff>{unlocked}</color> / {total}","","Chapter Achievements: <color=#5494ff>{unlocked}</color> / {total}",""
"ACH_InfoPanel_Achievement_Title_1",343984059703346,"","灵魂导师","","Soul Magister",""
"ACH_InfoPanel_Achievement_Title_2",343984059703347,"","金色讽刺家","","Golden Satirist",""
"ACH_InfoPanel_Achievement_Title_3",343984059703348,"","水晶眼吟游诗人","","Crystal-eyed Bard",""
"ACH_InfoPanel_Achievement_Title_4",343984059703349,"","星界旅人","","Astral Wayfarer",""
"ACH_InfoPanel_Achievement_Title_5",343984059703350,"","灵薄狱征服者","","Conqueror of Limbo",""
"ACH_InfoPanel_Achievement_Title_6",343984059703351,"","淫欲征服者","","Conqueror of Lust",""
"ACH_InfoPanel_Achievement_Title_7",343984059703352,"","马纳勃郎西惩罚者","","Malebranche Punisher",""
"ACH_InfoPanel_Achievement_Title_8",343984059703353,"","蝾螈审判者","","Salamander Inquisitor",""
"ACH_InfoPanel_Achievement_Title_9",343984059703354,"","深蓝成虫","","Cerulean Imago",""
"ACH_InfoPanel_Achievement_Title_10",343984059703355,"","禁忌之术・一","","Taboo Arts I",""
"ACH_InfoPanel_Achievement_Title_11",343984059703356,"","禁忌之术・二","","Taboo Arts II",""
"ACH_InfoPanel_Achievement_Title_12",343984059703357,"","布罗奇猎手","","Brotchi Hunter",""
"ACH_InfoPanel_Achievement_Title_13",343984059703358,"","地狱之力・一","","Infernal Prowess I",""
"ACH_InfoPanel_Achievement_Title_14",343984059703359,"","地狱之力・二","","Infernal Prowess II",""
"ACH_InfoPanel_Achievement_Title_15",343984059703360,"","天赐神力・一","","Heavenly Prowess I",""
"ACH_InfoPanel_Achievement_Title_16",343984059703361,"","天赐之礼","","Heavenly Gift",""
"ACH_InfoPanel_Achievement_Title_17",343984059703362,"","恶魔之才","","Devilish Talent",""
"ACH_InfoPanel_Achievement_Title_18",343984059703363,"","玩转地狱・一","","Hellish Mastery I",""
"ACH_InfoPanel_Achievement_Title_19",343984059703364,"","玩转地狱・二","","Hellish Mastery II",""
"ACH_InfoPanel_Achievement_Title_20",343984059703365,"","武器大师","","Weapon Master",""
"ACH_InfoPanel_Achievement_Title_21",343984059703366,"","策略大师","","Strategy Master",""
"ACH_InfoPanel_Achievement_Title_22",343984059703367,"","诗人之魂・一","","Soul of Poet I",""
"ACH_InfoPanel_Achievement_Title_23",343984059703368,"","诗人之质・一","","Essence of Poet I",""
"ACH_InfoPanel_Achievement_Title_24",343984059703369,"","诗人之魂・二","","Soul of Poet II",""
"ACH_InfoPanel_Achievement_Title_25",343984059703370,"","诗人之质・二","","Essence of Poet II",""
"ACH_InfoPanel_Achievement_Title_26",343984059703371,"","诗人之魂・三","","Soul of Poet III",""
"ACH_InfoPanel_Achievement_Title_27",343984059703372,"","诗人之质・三","","Essence of Poet III",""
"ACH_InfoPanel_Achievement_Title_28",343984059703373,"","诗人之魂・四","","Soul of Poet IV",""
"ACH_InfoPanel_Achievement_Title_29",343984059703374,"","诗人之质・四","","Essence of Poet IV",""
"ACH_InfoPanel_Achievement_Title_30",343984059703375,"","诗人之魂・五","","Soul of Poet V",""
"ACH_InfoPanel_Achievement_Title_31",343984059703376,"","诗人之质・五","","Essence of Poet V",""
"ACH_InfoPanel_Achievement_Title_32",343984059703377,"","改造大师","","Mod Master",""
"ACH_InfoPanel_Achievement_Title_33",343984059703378,"","完美一手","","Perfect Hand",""
"ACH_InfoPanel_Achievement_Title_34",343984059703379,"","嗜血","","Bloodthirsty",""
"ACH_InfoPanel_Achievement_Title_35",343984059703380,"","虔诚的朝圣者","","Devout Pilgrim",""
"ACH_InfoPanel_Achievement_Title_36",343984059703381,"","虔敬的朝圣者","","Pious Pilgrim",""
"ACH_InfoPanel_Achievement_Title_37",343984059703382,"","生命之韧・一","","Vital Endurance I",""
"ACH_InfoPanel_Achievement_Title_38",343984059703383,"","生命之韧・二","","Vital Endurance II",""
"ACH_InfoPanel_Achievement_Title_39",343984059703384,"","引路者・一","","Wayfinder I",""
"ACH_InfoPanel_Achievement_Title_40",343984059703385,"","引路者・二","","Wayfinder II",""
"ACH_InfoPanel_Achievement_Title_41",343984059703386,"","魅魔猎手","","Succubi Hunter",""
"ACH_InfoPanel_Achievement_Title_42",343984059703387,"","引路者・三","","Wayfinder III",""
"ACH_InfoPanel_Achievement_Title_43",343984059703388,"","精英杀手・一","","Elite Killer I",""
"ACH_InfoPanel_Achievement_Title_44",343984059703389,"","精英收割者","","Elite Vaporizer",""
"ACH_InfoPanel_Achievement_Title_45",343984059703390,"","骷髅猎手","","Skeleton Hunter",""
"ACH_InfoPanel_Achievement_Title_46",343984059703391,"","食尸鬼猎手","","Ghoul Hunter",""
"ACH_InfoPanel_Achievement_Title_47",343984059703392,"","小恶魔猎手","","Imp Hunter",""
"ACH_InfoPanel_Achievement_Title_48",343984059703393,"","迷途亡魂猎手","","Lost Soul Hunter",""
"ACH_InfoPanel_Achievement_Title_49",343984059703394,"","史莱姆猎手","","Slime Hunter",""
"ACH_InfoPanel_Achievement_Title_50",343984059703395,"","及时行乐・一","","Carpe Diem I",""
"ACH_InfoPanel_Achievement_Title_51",343984059703396,"","及时行乐・二","","Carpe Diem II",""
"ACH_InfoPanel_Achievement_Title_52",343984059703397,"","及时行乐・三","","Carpe Diem III",""
"ACH_InfoPanel_Achievement_Title_53",343984059703398,"","羽翼诗章・一","","Winged Lyric I",""
"ACH_InfoPanel_Achievement_Title_54",343984059703399,"","羽翼诗章・二","","Winged Lyric II",""
"ACH_InfoPanel_Achievement_Title_55",343984059703400,"","羽翼诗章・三","","Winged Lyric III",""
"ACH_InfoPanel_Achievement_Title_56",343984059703401,"","爱之圣典・一","","Codex Amoris I",""
"ACH_InfoPanel_Achievement_Title_57",343984059703402,"","爱之圣典・二","","Codex Amoris II",""
"ACH_InfoPanel_Achievement_Title_58",343984059703403,"","爱之圣典・三","","Codex Amoris III",""
"ACH_InfoPanel_Achievement_Title_59",343984059703404,"","炽焰羽毛笔・二","","Blazing Quill II",""
"ACH_InfoPanel_Achievement_Title_60",343984059703405,"","炽焰羽毛笔・三","","Blazing Quill III",""
"ACH_InfoPanel_Achievement_Title_61",343984059703406,"","炽焰羽毛笔・一","","Blazing Quill I",""
"ACH_InfoPanel_Achievement_Title_62",343984059703407,"","精英杀手・二","","Elite Killer II",""
"ACH_InfoPanel_Achievement_Title_63",343984059703408,"","淫欲罪人猎手","","Lust Sinner Hunter",""
"ACH_InfoPanel_Achievement_Title_64",343984059703409,"","淫欲魔矿猎手","","Lust Mine Hunter",""
"ACH_InfoPanel_Achievement_Title_65",343984059703410,"","妖精猎手","","Fairy Hunter",""
"ACH_InfoPanel_Achievement_Title_66",343984059703411,"","毒蛇猎手","","Viper Hunter",""
"ACH_InfoPanel_Achievement_Title_67",343984059703412,"","变异布罗奇猎手","","Devi-Brotchi Hunter",""
"ACH_InfoPanel_Achievement_Title_68",343984059703413,"","欲望之风","","Winds of Desire",""
"ACH_InfoPanel_Achievement_Title_69",343984059703414,"","深渊消耗者","","Abyssal Spender",""
"ACH_InfoPanel_Achievement_Title_70",343984059703415,"","朝圣者之旅・一","","Pilgrim's Journey I",""
"ACH_InfoPanel_Achievement_Title_71",343984059703416,"","灵薄狱的诗人・一","","Poets of Limbo I",""
"ACH_InfoPanel_Achievement_Title_72",343984059703417,"","灵薄狱的诗人・二","","Poets of Limbo II",""
"ACH_InfoPanel_Achievement_Title_73",343984059703418,"","失权女王","","Powerless Queen",""
"ACH_InfoPanel_Achievement_Title_74",343984059703419,"","攀登阶梯","","Climbing the Ladder",""
"ACH_InfoPanel_Achievement_Title_75",343984059703420,"","集会居民","","Forum Dweller",""
"ACH_InfoPanel_Achievement_Title_76",343984059703421,"","新手诗人","","Novice Poet",""
